key,pt_BR
CONTEST_SATURDAY_TOAST,📸 Sábado da Capa! Passeios valem votos em dobro hoje.
CONTEST_OVERTAKEN_TOAST,📰 Te passaram no concurso: agora você está em %s. Um passeio resolve!
CONTEST_PENDING_ROW,Resultado da semana passada: %s com %d votos
CONTEST_CLAIM,🏆 COLETAR PRÊMIO
CONTEST_CLAIM_TOAST,Prêmio do concurso: +%d R$ e +%d brasas!
CONTEST_RESULT_TITLE_1,📰 VOCÊ É A CAPA DA REVISTA!
CONTEST_RESULT_TITLE_2,🥈 2º lugar no Concurso da Capa
CONTEST_RESULT_TITLE_3,🥉 3º lugar no Concurso da Capa
CONTEST_RESULT_TITLE_4,📰 Concurso da Capa encerrado
CONTEST_RESULT_BODY,Semana passada: %d votos — %s.\nSeu prêmio: R$ %d%s
CONTEST_RESULT_EMBERS, + %d brasas 🔥
CONTEST_RESULT_HINT_WIN,O bairro inteiro viu sua foto! A nova semana já começou — defenda o título.
CONTEST_RESULT_HINT_LOSE,A nova semana já começou — cada passeio conta. Bora pra capa?
CONTEST_AUTO_CLAIM,Prêmio anterior entregue: %s (+%d R$)
CONTEST_TROPHIES,🏆 Capas conquistadas: %d
CONTEST_BEST,Melhor colocação: %s
CONTEST_HISTORY_TITLE,ÚLTIMAS SEMANAS
CONTEST_HISTORY_ROW,Semana de %s: %s • %d votos
CONTEST_RULE_SHORT,Bom +1 • Perfeito +2 • Foto perfeita +3 • Sábado ×2
